Typ;Nr.;Name;d;X;Y;latitude;longitude;Untergeordnete Exportnummer;HAFAS Nr.
Zugang und ÖV;25;Tramsteig Friedrichstraße vor Dorotheenstraße;0;4594341;5821603;52.519.402;13.388.334;9702025;
Zwischenpunkt;53;Bahnsteig S1/2/25 (Rolltreppe1 zur Ladenstraße/Verteiler S1/2/25);-3;4594349;5821679;52.520.083;13.388.473;9702053;
Zwischenpunkt;63;Ladenstraße/Verteiler S1/2/25 (Rolltreppe2 zum Bahnsteig S1/2/25);1;4594349;5821679;52.520.083;13.388.473;9702063;
Zwischenpunkt;91;Bahnsteig S5/7/75/3 (Treppe zum Durchgang);3;4594349;5821679;52.520.083;13.388.473;9702091;
Zwischenpunkt;94;Brücke (Treppe Schiffbauerdamm);2;4594350;5821680;52.520.092;13.388.488;9702094;
Zwischenpunkt;98;Bahnsteig Gleis 3/4 (Rolltreppe zum Zwischengeschoss Ladenstraße);3;4594350;5821680;52.520.092;13.388.488;9702098;
Zwischenpunkt;104;Zwischengeschoss Ladenstraße (Treppe zur Ladenstraße);1;4594350;5821680;52.520.092;13.388.488;9702104;
Zwischenpunkt;107;Zwischengeschoss Ladenstraße (Rolltreppe zum Bahnsteig Gleis 1/2);1;4594350;5821679;52.520.083;13.388.488;9702107;
Zwischenpunkt;50;Treppenabsatz Ladenstraße (Rolltreppe zur Ladenstraße);-1;4594350;5821680;52.520.092;13.388.488;9702050;
ÖV;5;Bahnsteig Gleis 1/2;3;4594275;5821678;52.520.087;13.387.383;9702005;
Zwischenpunkt;38;Zwischengeschoss Spreeufer (Treppe  zum Bahnsteig S1/2/25);-1;4594350;5821679;52.520.083;13.388.488;9702038;
Zugang und ÖV;24;Bushaltestelle Friedrichstraße vor Am Weidendamm;0;4594340;5821714;52.520.399;13.388.350;9702024;
Zugang;20;Zugang (Treppe) Friedrichstraße/Am Weidendamm;0;4594341;5821822;52.521.370;13.388.396;9702020;
